,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
226,100.08052531878154,2.0461577174149843,0.48514795303344727,0.013432310306342838,relu,0.05,"(100, 50, 25)",adaptive,2000,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100, 50, 25), 'learning_rate': 'adaptive', 'max_iter': 2000, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
228,62.240278561909996,1.2343159116945632,0.3981526692708333,0.010654785812896979,relu,0.05,"(4, 3, 2)",constant,500,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
229,129.0310744444529,1.2202813052173074,0.4541512330373128,0.05704924138972142,relu,0.05,"(4, 3, 2)",constant,500,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'adam'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
230,59.726083834966026,0.5333810198787616,0.43637315432230633,0.03806430092832247,relu,0.05,"(4, 3, 2)",constant,1000,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
231,149.26435899734497,1.348280534898573,0.4455565611521403,0.0036939562439716896,relu,0.05,"(4, 3, 2)",constant,1000,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
232,59.91741061210632,0.5946872576968921,0.4158320426940918,0.03917042205393225,relu,0.05,"(4, 3, 2)",constant,2000,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
233,148.37332304318747,1.022529545412735,0.3935411771138509,0.038393043039894804,relu,0.05,"(4, 3, 2)",constant,2000,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'adam'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
234,73.39812723795573,0.7394272002216035,0.4144783814748128,0.025318469374228134,relu,0.05,"(4, 3, 2)",adaptive,500,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
235,127.62709299723308,0.8075770237294607,0.4211239020029704,0.03798124389862197,relu,0.05,"(4, 3, 2)",adaptive,500,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'adam'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
236,74.86334562301636,0.7644983419597969,0.39341100056966144,0.029880127533704108,relu,0.05,"(4, 3, 2)",adaptive,1000,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
